scientific,common,order,family,birdnet_label,birdnet_how
Miniopterus australis,Little Long-fingered Bat,Chiroptera,Miniopteridae,Miniopterus australis_Little Bent-winged Bat,exact
Miniopterus brachytragos,Madagascar Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus egeri,Eger's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus eschscholtzii,Eschscholtz's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus fraterculus,Lesser Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus fuliginosus,Asian Long-fingered Bat,Chiroptera,Miniopteridae,Miniopterus fuliginosus_Eastern Bent-winged Bat,exact
Miniopterus fuscus,Ryukyu Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus gleni,Glen's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus griffithsi,Griffiths's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus griveaudi,Griveaud's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus inflatus,Greater Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus macrocneme,Small Melanesian Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus maghrebensis,Maghrebian Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus magnater,Large Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus mahafaliensis,Mahafaly Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus majori,Major's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus manavi,Manavil Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus medius,Intermediate Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus minor,Least Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus mossambicus,Mozambican Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus natalensis,Natal Long-fingered Bat,Chiroptera,Miniopteridae,Miniopterus natalensis_Natal Long-fingered Bat,exact
Miniopterus newtoni,Newton's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus nimbae,Nimba Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus orianae,Australian Long-fingered Bat,Chiroptera,Miniopteridae,Miniopterus orianae_Australasian Bent-winged Bat,exact
Miniopterus pallidus,Pallid Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus paululus,Philippine Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus petersoni,Peterson's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus phillipsi,Phillips's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus pusillus,Small Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus robustior,Loyalty Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus schreibersii,Schreibers's Long-fingered Bat,Chiroptera,Miniopteridae,Miniopterus schreibersii_Schreibers' Long-fingered Bat,exact
Miniopterus shortridgei,Shortridge's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus sororculus,Sororcula Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus srinii,Srini's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus tristis,Great Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus villiersi,Villiers's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Miniopterus wilsoni,Wilson's Long-fingered Bat,Chiroptera,Miniopteridae,,none
Austronomus australis,White-striped Free-tailed Bat,Chiroptera,Molossidae,Austronomus australis_White-striped Free-tailed Bat,exact
Austronomus kuboriensis,New Guinea Free-tailed Bat,Chiroptera,Molossidae,,none
Cabreramops aequatorianus,Equatorial Dog-faced Bat,Chiroptera,Molossidae,,none
Cheiromeles parvidens,Lesser Naked Bat,Chiroptera,Molossidae,,none
Cheiromeles torquatus,Greater Naked Bat,Chiroptera,Molossidae,,none
Cynomops abrasus,Cinnamon Dog-faced Bat,Chiroptera,Molossidae,,none
Cynomops freemani,Freeman's Dog-faced Bat,Chiroptera,Molossidae,,none
Cynomops greenhalli,Greenhall's Dog-faced Bat,Chiroptera,Molossidae,,none
Cynomops kuizha,Awa Dog-faced Bat,Chiroptera,Molossidae,,none
Cynomops mastivus,Thomas's Dog-faced Bat,Chiroptera,Molossidae,,none
Cynomops mexicanus,Mexican Dog-faced Bat,Chiroptera,Molossidae,,none
Cynomops milleri,Miller's Dog-faced Bat,Chiroptera,Molossidae,,none
Cynomops planirostris,Southern Dog-faced Bat,Chiroptera,Molossidae,Cynomops planirostris_southern dog-faced bat,exact
Cynomops tonkigui,Waorani Dog-faced Bat,Chiroptera,Molossidae,,none
Eumops auripendulus,Black Bonneted Bat,Chiroptera,Molossidae,Eumops auripendulus_Black Bonneted Bat,exact
Eumops bonariensis,Common Dwarf Bonneted Bat,Chiroptera,Molossidae,Eumops bonariensis_Dwarf Bonneted Bat,exact
Eumops chimaera,Chimera's Bonneted Bat,Chiroptera,Molossidae,,none
Eumops chiribaya,Chiribaya's Bonneted Bat,Chiroptera,Molossidae,,none
Eumops dabbenei,Big Bonneted Bat,Chiroptera,Molossidae,,none
Eumops delticus,Delta Bonneted Bat,Chiroptera,Molossidae,,none
Eumops ferox,Fierce Bonneted Bat,Chiroptera,Molossidae,,none
Eumops floridanus,Florida Bonneted Bat,Chiroptera,Molossidae,Eumops floridanus_Florida Bonneted Bat,exact
Eumops glaucinus,Wagner's Bonneted Bat,Chiroptera,Molossidae,Eumops glaucinus_Wagner's Bonneted Bat,exact
Eumops hansae,Sanborn's Bonneted Bat,Chiroptera,Molossidae,,none
Eumops maurus,Guianan Bonneted Bat,Chiroptera,Molossidae,,none
Eumops nanus,Northern Dwarf Bonneted Bat,Chiroptera,Molossidae,,none
Eumops patagonicus,Patagonian Dwarf Bonneted Bat,Chiroptera,Molossidae,,none
Eumops perotis,Western Bonneted Bat,Chiroptera,Molossidae,Eumops perotis_Western Bonneted Bat,exact
Eumops trumbulli,Trumbull's Bonneted Bat,Chiroptera,Molossidae,,none
Eumops underwoodi,Underwood's Bonneted Bat,Chiroptera,Molossidae,,none
Eumops wilsoni,Wilson's Bonneted Bat,Chiroptera,Molossidae,,none
Micronomus norfolkensis,East Coast Free-tailed Bat,Chiroptera,Molossidae,Micronomus norfolkensis_East Coast Free-tailed Bat,exact
Molossops griseiventer,Colombian Dog-faced Bat,Chiroptera,Molossidae,,none
Molossops neglectus,Rufous Dog-faced Bat,Chiroptera,Molossidae,,none
Molossops temminckii,Dwarf Dog-faced Bat,Chiroptera,Molossidae,,none
Molossus alvarezi,Alvarez's Mastiff Bat,Chiroptera,Molossidae,,none
Molossus aztecus,Aztec Mastiff Bat,Chiroptera,Molossidae,,none
Molossus bondae,Bonda Mastiff Bat,Chiroptera,Molossidae,,none
Molossus coibensis,Coiban Mastiff Bat,Chiroptera,Molossidae,,none
Molossus currentium,Thomas's Mastiff Bat,Chiroptera,Molossidae,,none
Molossus fentoni,Fenton's Mastiff Bat,Chiroptera,Molossidae,,none
Molossus fluminensis,Southern Black Mastiff Bat,Chiroptera,Molossidae,,none
Molossus melini,Melin's Mastiff Bat,Chiroptera,Molossidae,,none
Molossus molossus,Pallas's Mastiff Bat,Chiroptera,Molossidae,Molossus molossus_Velvety Free-tailed Bat,exact
Molossus nigricans,Northern Black Mastiff Bat,Chiroptera,Molossidae,Molossus nigricans_Black mastiff bat,exact
Molossus paranaensis,Paraná River Mastiff Bat,Chiroptera,Molossidae,,none
Molossus pretiosus,Miller's Mastiff Bat,Chiroptera,Molossidae,,none
Molossus rufus,Common Black Mastiff Bat,Chiroptera,Molossidae,Molossus rufus_Black Mastiff Bat,exact
Molossus sinaloae,Sinaloan Mastiff Bat,Chiroptera,Molossidae,Molossus sinaloae_Sinaloan Mastiff Bat,exact
Molossus tropidorhynchus,Pug-nosed Mastiff Bat,Chiroptera,Molossidae,,none
Molossus verrilli,Hispaniolan Mastiff Bat,Chiroptera,Molossidae,,none
Mops aloysiisabaudiae,Duke of Abruzzi's Free-tailed Bat,Chiroptera,Molossidae,,none
Mops ansorgei,Ansorge's Free-tailed Bat,Chiroptera,Molossidae,,none
Mops atsinanana,Madagascar Free-tailed Bat,Chiroptera,Molossidae,,none
Mops bakarii,Bakari's Free-tailed Bat,Chiroptera,Molossidae,,none
Mops bemmeleni,Gland-tailed Free-tailed Bat,Chiroptera,Molossidae,,none
Mops bivittatus,Spotted Free-tailed Bat,Chiroptera,Molossidae,,none
Mops brachypterus,Short-winged Free-tailed Bat,Chiroptera,Molossidae,,none
Mops bregullae,Fijian Free-tailed Bat,Chiroptera,Molossidae,,none
Mops chapini,Long-crested Free-tailed Bat,Chiroptera,Molossidae,,none
Mops condylurus,Angolan Free-tailed Bat,Chiroptera,Molossidae,Mops condylurus_Angolan Free-tailed Bat,exact
Mops congicus,Congo Free-tailed Bat,Chiroptera,Molossidae,,none
Mops demonstrator,Mongalla Free-tailed Bat,Chiroptera,Molossidae,,none
Mops gallagheri,Gallagher's Free-tailed Bat,Chiroptera,Molossidae,,none
Mops jobensis,Greater Northern Free-tailed Bat,Chiroptera,Molossidae,Mops jobensis_Northern Free-tailed Bat,exact
Mops jobimena,Black-and-red Free-tailed Bat,Chiroptera,Molossidae,,none
Mops johorensis,Lesser Northern Free-tailed Bat,Chiroptera,Molossidae,,none
Mops leucogaster,Grandidier's Free-tailed Bat,Chiroptera,Molossidae,,none
Mops leucostigma,Malagasy White-bellied Free-tailed Bat,Chiroptera,Molossidae,,none
Mops major,Lappet-eared Free-tailed Bat,Chiroptera,Molossidae,,none
Mops midas,Midas Free-tailed Bat,Chiroptera,Molossidae,,none
Mops mops,Malayan Free-tailed Bat,Chiroptera,Molossidae,,none
Mops nanulus,Dwarf Free-tailed Bat,Chiroptera,Molossidae,,none
Mops niangarae,Niangara Free-tailed Bat,Chiroptera,Molossidae,,none
Mops nigeriae,Nigerian Free-tailed Bat,Chiroptera,Molossidae,,none
Mops niveiventer,White-bellied Free-tailed Bat,Chiroptera,Molossidae,,none
Mops petersoni,Peterson's Free-tailed Bat,Chiroptera,Molossidae,,none
Mops plicatus,Wrinkle-lipped Free-tailed Bat,Chiroptera,Molossidae,Mops plicatus_Wrinkle-lipped Bat,exact
Mops pumilus,Little Free-tailed Bat,Chiroptera,Molossidae,Mops pumilus_Little Free-tailed Bat,exact
Mops pusillus,Seychelles Free-tailed Bat,Chiroptera,Molossidae,,none
Mops russatus,Russet Free-tailed Bat,Chiroptera,Molossidae,,none
Mops sarasinorum,Sulawesian Free-tailed Bat,Chiroptera,Molossidae,,none
Mops solomonis,Solomons Free-tailed Bat,Chiroptera,Molossidae,,none
Mops spurrelli,Spurrell's Free-tailed Bat,Chiroptera,Molossidae,,none
Mops thersites,Railer Free-tailed Bat,Chiroptera,Molossidae,,none
Mops tomensis,Sao Tome Free-tailed Bat,Chiroptera,Molossidae,,none
Mops trevori,Trevor's Free-tailed Bat,Chiroptera,Molossidae,,none
Mormopterus acetabulosus,Mauritian Little Mastiff Bat,Chiroptera,Molossidae,,none
Mormopterus doriae,Sumatran Little Mastiff Bat,Chiroptera,Molossidae,,none
Mormopterus francoismoutoui,Reunion Little Mastiff Bat,Chiroptera,Molossidae,,none
Mormopterus jugularis,Peters's Little Mastiff Bat,Chiroptera,Molossidae,,none
Mormopterus kalinowskii,Kalinowski's Little Mastiff Bat,Chiroptera,Molossidae,,none
Mormopterus minutus,Least Little Mastiff Bat,Chiroptera,Molossidae,,none
Mormopterus phrudus,Incan Little Mastiff Bat,Chiroptera,Molossidae,,none
Myopterus daubentonii,Daubenton's Winged-mouse Bat,Chiroptera,Molossidae,,none
Myopterus whitleyi,Bini Winged-mouse Bat,Chiroptera,Molossidae,,none
Neoplatymops mattogrossensis,Mato Grosso Dog-faced Bat,Chiroptera,Molossidae,,none
Nyctinomops aurispinosus,Peale's Free-tailed Bat,Chiroptera,Molossidae,,none
Nyctinomops femorosaccus,Pocketed Free-tailed Bat,Chiroptera,Molossidae,Nyctinomops femorosaccus_Pocketed Free-tailed Bat,exact
Nyctinomops laticaudatus,Broad-eared Free-tailed Bat,Chiroptera,Molossidae,Nyctinomops laticaudatus_Broad-eared Free-tailed Bat,exact
Nyctinomops macrotis,Big Free-tailed Bat,Chiroptera,Molossidae,Nyctinomops macrotis_Big Free-tailed Bat,exact
Nyctinomus aegyptiacus,Egyptian Free-tailed Bat,Chiroptera,Molossidae,Tadarida aegyptiaca_Egyptian Free-tailed Bat,synonym
Otomops formosus,Java Giant Mastiff Bat,Chiroptera,Molossidae,,none
Otomops harrisoni,Harrison's Giant Mastiff Bat,Chiroptera,Molossidae,,none
Otomops johnstonei,Johnstone's Giant Mastiff Bat,Chiroptera,Molossidae,,none
Otomops madagascariensis,Madagascar Giant Mastiff Bat,Chiroptera,Molossidae,,none
Otomops martiensseni,Large-eared Giant Mastiff Bat,Chiroptera,Molossidae,,none
Otomops papuensis,Papuan Giant Mastiff Bat,Chiroptera,Molossidae,,none
Otomops secundus,Mantled Giant Mastiff Bat,Chiroptera,Molossidae,,none
Otomops wroughtoni,Wroughton's Giant Mastiff Bat,Chiroptera,Molossidae,,none
Ozimops beccarii,Beccari's Free-tailed Bat,Chiroptera,Molossidae,,none
Ozimops cobourgianus,Northern Coastal Free-tailed Bat,Chiroptera,Molossidae,,none
Ozimops halli,Cape York Free-tailed Bat,Chiroptera,Molossidae,,none
Ozimops kitcheneri,Southwestern Free-tailed Bat,Chiroptera,Molossidae,,none
Ozimops loriae,Loria's Free-tailed Bat,Chiroptera,Molossidae,,none
Ozimops lumsdenae,Lumsden's Free-tailed Bat,Chiroptera,Molossidae,Ozimops lumsdenae_Northern Free-tailed Bat,exact
Ozimops petersi,Inland Free-tailed Bat,Chiroptera,Molossidae,Ozimops petersi_Inland Free-tailed Bat,exact
Ozimops planiceps,Southern Free-tailed Bat,Chiroptera,Molossidae,Ozimops planiceps_Southeastern Free-tailed Bat,exact
Ozimops ridei,Ride's Free-tailed Bat,Chiroptera,Molossidae,Ozimops ridei_Eastern Free-tailed Bat,exact
Platymops setiger,Peters's Flat-headed Bat,Chiroptera,Molossidae,,none
Promops centralis,Big Crested Mastiff Bat,Chiroptera,Molossidae,Promops centralis_big crested mastiff bat,exact
Promops davisoni,Davison's Mastiff Bat,Chiroptera,Molossidae,,none
Promops nasutus,Brown Mastiff Bat,Chiroptera,Molossidae,Promops nasutus_brown mastiff bat,exact
Sauromys petrophilus,Roberts's Flat-headed Bat,Chiroptera,Molossidae,,none
Setirostris eleryi,Hairy-nosed Free-tailed Bat,Chiroptera,Molossidae,,none
Tadarida brasiliensis,Brazilian Free-tailed Bat,Chiroptera,Molossidae,Tadarida brasiliensis_Mexican Free-tailed Bat,exact
Tadarida fulminans,Malagasy Free-tailed Bat,Chiroptera,Molossidae,,none
Tadarida insignis,East Asian Free-tailed Bat,Chiroptera,Molossidae,,none
Tadarida latouchei,La Touche's Free-tailed Bat,Chiroptera,Molossidae,,none
Tadarida lobata,Kenyan Big-eared Free-tailed Bat,Chiroptera,Molossidae,,none
Tadarida teniotis,European Free-tailed Bat,Chiroptera,Molossidae,Tadarida teniotis_European Free-tailed Bat,exact
Tadarida ventralis,African Giant Free-tailed Bat,Chiroptera,Molossidae,,none
Tomopeas ravum,Blunt-eared Bat,Chiroptera,Molossidae,,none
Chilonatalus macer,Cuban Lesser Funnel-eared Bat,Chiroptera,Natalidae,,none
Chilonatalus micropus,Caribbean Lesser Funnel-eared Bat,Chiroptera,Natalidae,,none
Chilonatalus tumidifrons,Bahamian Lesser Funnel-eared Bat,Chiroptera,Natalidae,,none
Natalus jamaicensis,Jamaican Greater Funnel-eared Bat,Chiroptera,Natalidae,,none
Natalus macrourus,Brazilian Funnel-eared Bat,Chiroptera,Natalidae,,none
Natalus major,Hispaniolan Greater Funnel-eared Bat,Chiroptera,Natalidae,,none
Natalus mexicanus,Mexican Funnel-eared Bat,Chiroptera,Natalidae,Natalus mexicanus_Mexican Greater Funnel-eared Bat,exact
Natalus primus,Cuban Greater Funnel-eared Bat,Chiroptera,Natalidae,,none
Natalus stramineus,Lesser Antillean Funnel-eared Bat,Chiroptera,Natalidae,,none
Natalus tumidirostris,Trinidadian Funnel-eared Bat,Chiroptera,Natalidae,,none
Nyctiellus lepidus,Gervais's Funnel-eared Bat,Chiroptera,Natalidae,,none
Kerivoula africana,Tanzanian Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula agnella,Saint Aignan's Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula argentata,Damara Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula crypta,Cryptic Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula cuprosa,Coppery Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula depressa,Flat-skulled Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula dongduongana,Indochinese Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula eriophora,Ethiopian Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula flora,Flores Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula furva,Dark Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula hardwickii,Hardwicke's Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula intermedia,Small Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula kachinensis,Kachin Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula krauensis,Krau Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula lanosa,Lesser Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula lenis,Lenis Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula malpasi,Sri Lankan Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula minuta,Least Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula muscina,Fly River Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula myrella,Bismarck Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula papillosa,Papillose Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula pellucida,Clear-winged Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula phalaena,Spurrell's Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula picta,Painted Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula pusilla,Bornean Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula smithii,Smith's Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula titania,Titania's Woolly Bat,Chiroptera,Vespertilionidae,,none
Kerivoula whiteheadi,Whitehead's Woolly Bat,Chiroptera,Vespertilionidae,,none
Phoniscus aerosus,Dubious Trumpet-eared Bat,Chiroptera,Vespertilionidae,,none
Phoniscus atrox,Groove-toothed Trumpet-eared Bat,Chiroptera,Vespertilionidae,,none
Phoniscus jagorii,Peters's Trumpet-eared Bat,Chiroptera,Vespertilionidae,,none
Phoniscus papuensis,Golden-tipped Bat,Chiroptera,Vespertilionidae,,none
Harpiocephalus harpia,Hairy-winged Bat,Chiroptera,Vespertilionidae,,none
Harpiola grisea,Gray Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Harpiola isodon,Formosan Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina aenea,Bronze Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina alvarezi,Alvarez's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina annamitica,Annamite Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina aurata,Little Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina balaensis,Bala Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina baletei,Balete's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina beelzebub,Beelzebub Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina beibengensis,Beibeng Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina bicolor,Bicolored Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina chayuensis,Chayu Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina chrysochaetes,Golden-haired Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina cyclotis,Round-eared Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina eleryi,Elery's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina feae,Fea's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina fionae,Fiona's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina florium,Flores Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina fusca,Dusky Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina gracilis,Gracile Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina guilleni,Guillen's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina harpioloides,Vietnamese Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina harrisoni,Harrison's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina hilgendorfi,Hilgendorf's Tube-nosed Bat,Chiroptera,Vespertilionidae,Murina hilgendorfi_Greater Tube-nosed Bat,exact
Murina hilonghilong,Hilong-hilong Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina hkakaboraziensis,Hkakabo Razi Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina huanglianensis,Huanglianshan Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina huttonii,Hutton's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina jaintiana,Jaintia Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina jinchui,Jinchu's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina kontumensis,Kon Tum Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina leucogaster,Rufous Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina liboensis,Libo Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina lorelieae,Lorelie's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina luzonensis,Luzon Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina medogensis,Medog Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina milinensis,Milin Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina mindorensis,Mindoro Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina peninsularis,Peninsular Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina philippinensis,Philippine Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina pluvialis,Rainforest Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina puta,Taiwan Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina recondita,Hidden Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina rozendaali,Gilded Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina rubella,Fujian Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina ryukyuana,Ryukyu Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina shuipuensis,Shuipu Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina suilla,Brown Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina tenebrosa,Gloomy Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina tubinaris,Scully's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina ussuriensis,Ussuri Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina walstoni,Walston's Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina yadongensis,Yadong Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina yuanyang,Yuanyang Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Murina yushuensis,Yushu Tube-nosed Bat,Chiroptera,Vespertilionidae,,none
Eudiscopus denticulus,Disk-footed Bat,Chiroptera,Vespertilionidae,,none
Myotis adversus,Gray Large-footed Myotis,Chiroptera,Vespertilionidae,,none
Myotis albescens,Silver-tipped Myotis,Chiroptera,Vespertilionidae,Myotis albescens_silver-tipped myotis,exact
Myotis alcathoe,Alcathoe Whiskered Myotis,Chiroptera,Vespertilionidae,Myotis alcathoe_Alcathoe myotis,exact
Myotis altarium,Sichuan Myotis,Chiroptera,Vespertilionidae,,none
Myotis alticraniatus,Indochinese Whiskered Myotis,Chiroptera,Vespertilionidae,,none
Myotis ancricola,Valley Myotis,Chiroptera,Vespertilionidae,,none
Myotis anjouanensis,Anjouan Myotis,Chiroptera,Vespertilionidae,,none
Myotis annatessae,Anna Tess's Myotis,Chiroptera,Vespertilionidae,,none
Myotis annectans,Hairy-faced Myotis,Chiroptera,Vespertilionidae,,none
Myotis arescens,Valparaíso Myotis,Chiroptera,Vespertilionidae,,none
Myotis armiensis,Armién's Myotis,Chiroptera,Vespertilionidae,,none
Myotis atacamensis,Atacama Myotis,Chiroptera,Vespertilionidae,Myotis atacamensis_Atacama myotis,exact
Myotis ater,Peters's Myotis,Chiroptera,Vespertilionidae,,none
Myotis attenboroughi,Sir David Attenborough's Myotis,Chiroptera,Vespertilionidae,,none
Myotis auriculus,Southwestern Myotis,Chiroptera,Vespertilionidae,,none
Myotis australis,Australian Myotis,Chiroptera,Vespertilionidae,,none
Myotis austroriparius,Southeastern Myotis,Chiroptera,Vespertilionidae,Myotis austroriparius_Southeastern Myotis,exact
Myotis badius,Chestnut Myotis,Chiroptera,Vespertilionidae,,none
Myotis bakeri,Baker's Myotis,Chiroptera,Vespertilionidae,,none
Myotis barquezi,Barquez's Myotis,Chiroptera,Vespertilionidae,,none
Myotis bartelsii,Bartels's Myotis,Chiroptera,Vespertilionidae,,none
Myotis bechsteinii,Bechstein's Myotis,Chiroptera,Vespertilionidae,Myotis bechsteinii_Bechstein's bat,exact
Myotis blythii,Lesser Myotis,Chiroptera,Vespertilionidae,Myotis blythii_Lesser mouse-eared bat,exact
Myotis bocagii,Bocage's Myotis,Chiroptera,Vespertilionidae,,none
Myotis bombinus,Far Eastern Myotis,Chiroptera,Vespertilionidae,,none
Myotis borneoensis,Bornean Whiskered Myotis,Chiroptera,Vespertilionidae,,none
Myotis brandtii,Brandt's Myotis,Chiroptera,Vespertilionidae,Myotis brandtii_Brandt's bat,exact
Myotis bucharensis,Bokhara Myotis,Chiroptera,Vespertilionidae,,none
Myotis californicus,California Myotis,Chiroptera,Vespertilionidae,Myotis californicus_California Myotis,exact
Myotis capaccinii,Long-fingered Myotis,Chiroptera,Vespertilionidae,Myotis capaccinii_Long-fingered Bat,exact
Myotis carteri,Carter's Myotis,Chiroptera,Vespertilionidae,,none
Myotis caucensis,Colombian Black Myotis,Chiroptera,Vespertilionidae,,none
Myotis chiloensis,Chilean Myotis,Chiroptera,Vespertilionidae,Myotis chiloensis_Chilean myotis,exact
Myotis chinensis,Large Myotis,Chiroptera,Vespertilionidae,,none
Myotis ciliolabrum,Western Small-footed Myotis,Chiroptera,Vespertilionidae,Myotis ciliolabrum_Western Small-footed Myotis,exact
Myotis clydejonesi,Clyde Jones's Myotis,Chiroptera,Vespertilionidae,,none
Myotis cobanensis,Guatemalan Myotis,Chiroptera,Vespertilionidae,,none
Myotis crypticus,Cryptic Myotis,Chiroptera,Vespertilionidae,,none
Myotis dasycneme,Pond Myotis,Chiroptera,Vespertilionidae,Myotis dasycneme_pond bat,exact
Myotis daubentonii,Daubenton's Myotis,Chiroptera,Vespertilionidae,Myotis daubentonii_Daubenton's bat,exact
Myotis davidii,David's Myotis,Chiroptera,Vespertilionidae,,none
Myotis dieteri,Kock's Myotis,Chiroptera,Vespertilionidae,,none
